,,,,,National Accounts,National accounts,National accounts,National accounts,National accounts,,Government Finance,Government finance,Government finance,,Prices (CPI),Prices,,Balance of Payments,Balance of Payments
IMF Code,ISO Code,Country,Currency,,Historical Data Source 1/,Latest Actual Data,Base Year 2/,Reporting Period 3/,Use of Chain-Weighted Methodology 4/,,Historical Data Source 1/,Latest Actual Data,Reporting Period 3/,,Historical Data Source 1/,Latest Actual Data,,Historical Data Source 1/,Latest Actual Data
248,ECU,Ecuador,U.S. dollar,,CB,2012,2007,,,,CB and MoF,2012,,,NSO and CB,2012,,CB,2012
469,EGY,Egypt,Egyptian pound,,Other,2012/13,2001/02,Jul/Jun,,,MoF,2012/13,Jul/Jun,,NSO,2012/13,,CB,2012/13
253,SLV,El Salvador,U.S. dollar,,CB,2012,1990,,,,MoF,2013,,,NSO,2013,,CB,2012
642,GNQ,Equatorial Guinea,CFA franc,,MEP and CB,2006,2006,,,,MoF,2012,,,MEP,2012,,CB,2006
643,ERI,Eritrea,Eritrean nakfa,,IMF staff,2006,2000,,,,MoF,2008,,,NSO,2009,,CB,2008
939,EST,Estonia,Euro,,NSO,2013,2005,,From 1995,,MoF,2013,,,NSO,2013,,CB,2013
644,ETH,Ethiopia,Ethiopian birr,,NSO,2012/13,2010/11,Jul/Jun,,,MoF,2012/13,Jul/Jun,,NSO,2012,,CB,2012/13
819,FJI,Fiji,Fiji dollar,,NSO,2012,2008 5/,,,,MoF,2011,,,NSO,2013,,CB,2012
172,FIN,Finland,Euro,,NSO,2013,2000,,From 1980,,MoF,2012,,,NSO and Eurostat,2013,,CB,2012
132,FRA,France,Euro,,NSO,2013,2005,,From 1980,,NSO,2012,,,NSO,2013,,CB,2013
646,GAB,Gabon,CFA franc,,MoF,2010,2001,,,,IMF staff,2013,,,MoF,2013,,CB,2006
648,GMB,The Gambia,Gambian dalasi,,NSO,2012,2004,,,,MoF,2013,,,NSO,2013,,CB and IMF staff,2012
915,GEO,Georgia,Georgian lari,,NSO,2012,2000,,From 1996,,MoF,2013,,,NSO,2013,,NSO and CB,2012
134,DEU,Germany,Euro,,NSO,2013,2005,,From 1991,,NSO and Eurostat,2013,,,NSO,2013,,CB,2013
652,GHA,Ghana,Ghanaian cedi,,NSO,2011,2006,,,,MoF,2011,,,NSO,2011,,CB,2011
174,GRC,Greece,Euro,,NSO,2013,2005,,From 2000,,MoF,2012,,,NSO,2013,,CB,2013
328,GRD,Grenada,Eastern Caribbean dollar,,NSO,2013,2006,,,,MoF,2013,,,NSO,2013,,CB,2013
258,GTM,Guatemala,Guatemalan quetzal,,CB,2012,2001,,From 2001,,MoF,2012,,,NSO,2013,,CB,2012
656,GIN,Guinea,Guinean franc,,NSO,2009,2003,,,,MoF,2012,,,NSO,2013,,CB and MEP,IMF staff estimates
654,GNB,Guinea-Bissau,CFA franc,,NSO,2011,2005,,,,MoF,2011,,,NSO,2011,,CB,2011
336,GUY,Guyana,Guyana dollar,,NSO,2012,2006 5/,,,,MoF,2012,,,NSO,2012,,CB,2012
263,HTI,Haiti,Haitian gourde,,NSO,2012/13,1986/87,Oct/Sep,,,MoF,2012/13,Oct/Sep,,NSO,2013,,CB,2013
268,HND,Honduras,Honduran lempira,,CB,2012,2000,,,,MoF,2012,,,CB,2013,,CB,2012
532,HKG,Hong Kong SAR,Hong Kong dollar,,NSO,2013,2011,,From 1980,,NSO,2012/13,Apr/Mar,,NSO,2013,,NSO,2011
944,HUN,Hungary,Hungarian forint,,NSO,2012,2005,,From 2005,,MEP and Eurostat,2012,,,NSO,2013,,CB,2012
176,ISL,Iceland,Icelandic króna,,NSO,2013,2000,,From 1990,,NSO,2013,,,NSO,2013,,CB,2013
534,IND,India,Indian rupee,,NSO,2012/13,2004/05,Apr/Mar,,,MoF,2012/13,Apr/Mar,,NSO,2012/13,,CB,2012/13
536,IDN,Indonesia,Indonesian rupiah,,NSO,2013,2000,,,,MoF,2013,,,CEIC,2013,,CEIC,2013
429,IRN,Iran,Iranian rial,,CB,2011/12,1997/98,Apr/Mar,,,MoF,2011/12,Apr/Mar,,CB,2013,,CB,2012
433,IRQ,Iraq,Iraqi dinar ,,NSO,2013,1988,,,,MoF,2013,,,NSO,2013,,CB,2012
178,IRL,Ireland,Euro,,NSO,2012,2011,,From 2011,,MoF,2012,,,NSO,2012,,NSO,2012
436,ISR,Israel,Israeli shekel,,NSO,2012,2010,,From 1995,,MoF,2012,,,Haver Analytics,2013,,Haver Analytics,2012
136,ITA,Italy,Euro,,NSO,2012,2005,,From 1980,,NSO,2012,,,NSO,2012,,NSO,2012
343,JAM,Jamaica,Jamaica dollar,,NSO,2012,2007,,,,MoF,2012/13,Apr/Mar,,NSO,2013,,CB,2012
158,JPN,Japan,Japanese yen,,NSO and Nomura,2013,2005,,From 1980,,Cabinet Office of Japan,2012,,,NSO and Nomura,2013,,NSO and Nomura,2013
439,JOR,Jordan,Jordanian dinar,,NSO,2013,1994,,,,MoF,2013,,,NSO,2013,,CB,2012
916,KAZ,Kazakhstan,Kazakhstani tenge,,NSO,2012,2007,,From 1994,,IMF staff,2012,,,CB,2012,,CB,2012
664,KEN,Kenya,Kenya shilling,,NSO,2013,2000,,,,MoF,2013,,,NSO,2013,,CB,2013
826,KIR,Kiribati,Australian dollar,,NSO,2009,2006,,,,MoF,2010,,,NSO,2010,,NSO,2009
542,KOR,Korea,Korean won,,CB,2012,2005,,From 1980,,MoF,2012,,,CB,2013,,CB,2013
967,KOS,Kosovo,Euro,,NSO,2012,2012,,,,MoF,2012,,,NSO,2012,,CB,2011
443,KWT,Kuwait,Kuwaiti dinar,,MEP and NSO,2012,2000,,,,MoF,2012,,,MEP and NSO,2012,,CB,2012
917,KGZ,Kyrgyz Republic,Kyrgyz som,,NSO,2013,1995,,,,MoF,2013,,,NSO,2013,,MoF,2012
544,LAO,Lao P.D.R.,Lao kip,,NSO,2011,2002,,,,MoF,2012/13,Oct/Sep,,NSO,2013,,CB,2011
941,LVA,Latvia,Latvian lats,,NSO,2013,2010,,From 1995,,MoF,2013,,,Eurostat,2013,,CB,2013
446,LBN,Lebanon,Lebanese pound,,NSO,2011,2000,,From 2010,,MoF,2013,,,NSO,2013,,CB,2012
666,LSO,Lesotho,Lesotho loti,,NSO,2012,2004,,,,MoF,2012/13,Apr/Mar,,NSO,2013,,CB,2012
668,LBR,Liberia,U.S. dollar,,CB,2011,1992,,,,MoF,2012,,,CB,2013,,CB,2012
672,LBY,Libya,Libyan dinar,,MEP,2009,2003,,,,MoF,2011,,,NSO,2009,,CB,2010
946,LTU,Lithuania,Lithuanian litas,,NSO,2013,2005,,From 2005,,MoF,2013,,,NSO,2013,,CB,2013
137,LUX,Luxembourg,Euro,,NSO,2012,2005,,From 1995,,MoF,2012,,,NSO,2013,,NSO,2012
962,MKD,FYR Macedonia,Macedonian denar,,NSO,2013,2005,,,,MoF,2012,,,NSO,2013,,CB,2013
674,MDG,Madagascar,Malagasy ariary,,NSO,2012,2000,,,,MoF,2012,,,NSO,2012,,CB,2011
676,MWI,Malawi,Malawi kwacha,,NSO,2009,2007,,,,MoF,2012/13,Jul/Jun,,NSO,2013,,NSO,2012
548,MYS,Malaysia,Malaysian ringgit,,NSO,2013,2005,,,,MoF,2012,,,NSO,2013,,NSO,2013
556,MDV,Maldives,Maldivian rufiyaa,,MEP,2012,2003,,,,MoF and Treasury,2011,,,CB,2010,,CB,2009
678,MLI,Mali,CFA franc,,MoF,2011,1987,,,,MoF,2012,,,MoF,2012,,CB,2011
181,MLT,Malta,Euro,,Eurostat,2012,2005,,From 2000,,Eurostat,2012,,,Eurostat,2012,,NSO,2012
867,MHL,Marshall Islands,U.S. dollar,,NSO,2011/12,2003/04,Oct/Sep,,,MoF,2011/12,Oct/Sep,,NSO,2013,,NSO,2012
682,MRT,Mauritania,Mauritanian ouguiya,,NSO,2009,1998,,,,MoF,2012,,,NSO,2012,,CB,2009
684,MUS,Mauritius,Mauritian rupee,,NSO,2013,2000,,From 1999,,MoF,2013,,,NSO,2013,,CB,2013
273,MEX,Mexico,Mexican peso,,NSO,2013,2008,,,,MoF,2013,,,NSO,2013,,CB,2013
868,FSM,Micronesia,U.S. dollar,,NSO,2012,2004,Oct/Sept,,,MoF,2011/12,Oct/Sep,,NSO,2012,,NSO,2012
921,MDA,Moldova,Moldovan leu,,NSO,2013,1995,,,,MoF,2013,,,NSO,2013,,CB,2012
948,MNG,Mongolia,Mongolian togrog,,NSO,2012,2005,,,,MoF,2013,,,NSO,2013,,CB,2013
943,MNE,Montenegro,Euro,,NSO,2011,2006,,,,MoF,2013,,,NSO,2013,,CB,2012
686,MAR,Morocco,Moroccan dirham,,NSO,2013,1998,,From 1998,,MEP,2013,,,NSO,2013,,Foreign Exchange Office,2013
688,MOZ,Mozambique,Mozambican metical,,NSO,2012,2000,,,,MoF,2012,,,NSO,2012,,CB,2011
518,MMR,Myanmar,Myanmar kyat,,MEP,2010/11,2010/11,Apr/Mar,,,MoF,2011/12,Apr/Mar,,NSO,2012,,IMF staff,2012
728,NAM,Namibia,Namibia dollar,,NSO,2009,2000,,,,MoF,2008/9,Apr/Mar,,NSO,2009,,CB,2009
558,NPL,Nepal,Nepalese rupee,,NSO,2011/12,2000/01,Aug/Jul,,,MoF,2011/12,Aug/Jul,,CB,2011/12,,CB,2010/11
138,NLD,Netherlands,Euro,,NSO,2013,2005,,From 1980,,MoF,2013,,,NSO,2013,,CB,2012
196,NZL,New Zealand,New Zealand dollar,,NSO,2011/12,1995/96,,From 1987,,MoF,2012/13,,,NSO,2013,,NSO,2012
278,NIC,Nicaragua,Nicaraguan córdoba,,IMF staff,2012,2006,,From 1994,,MoF,2012,,,CB,2012,,IMF staff,2012
692,NER,Niger,CFA franc,,NSO,2010,2000,,,,MoF,2011,,,NSO,2011,,CB,2010
694,NGA,Nigeria,Nigerian naira,,NSO,2012,2000,,,,MoF,2012,,,NSO,2013,,CB,2012
142,NOR,Norway,Norwegian krone,,NSO,2013,2011,,From 1980,,NSO and MoF,2012,,,NSO,2013,,NSO,2012
449,OMN,Oman,Omani rial,,NSO,2012,2000,,,,MoF,2011,,,NSO,2012,,CB,2011
564,PAK,Pakistan,Pakistan rupee,,MoF,2012/13,2005/06,Jul/Jun,,,MoF,2012/13,Jul/Jun,,MoF,2012/13,,CB,2012/13
565,PLW,Palau,U.S. dollar,,MoF,2012,2005,Oct/Sep,,,MoF,2012,Oct/Sep,,MoF,2011/12,,MoF,2012
283,PAN,Panama,U.S. dollar,,NSO,2012,1996,,,,MEP,2012,,,NSO,2012,,NSO,2012
853,PNG,Papua New Guinea,Papua New Guinea kina,,NSO and MOF,2012,1998,,,,MoF,2012,,,NSO,2012,,CB,2012
288,PRY,Paraguay,Paraguayan guaraní,,CB,2012,1994,,,,MoF,2012,,,CB,2012,,CB,2012
293,PER,Peru,Peruvian nuevo sol,,CB,2013,1994,,,,MoF,2012,,,CB,2013,,CB,2013
566,PHL,Philippines,Philippine peso,,NSO,2013,2000,,,,MoF,2013,,,NSO,2013,,CB,2012
964,POL,Poland,Polish zloty,,NSO,2013,2005,,From 1995,,Eurostat,2013,,,NSO,2013,,CB,2013
182,PRT,Portugal,Euro,,NSO,2012,2006,,From 1980,,NSO,2012,,,NSO,2012,,CB,2012
453,QAT,Qatar,Qatari riyal,,NSO and MEP,2012,2004,,,,MoF,2012/13,Apr/Mar,,NSO,2013,,CB and IMF staff,2012
