Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980]
Afghanistan,AFG,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Broad money growth (annual %),FM.LBL.BMNY.ZG,12.0637466878922,5.70436037333889,2.57415378471386,4.09327496841465,9.72542825974532,3.07902196833481,8.13557154538606,9.9144833110801,8.7277294523166,21.309168363765,26.9471277001623,33.045067969931,31.3838171170012,42.3951640126071,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.5945754845902,37.1566475203784,34.5308326648949,50.6904779154956,12.3295614503191,10.409507083737,..,..,17.9587060101981,17.4498215541832,16.8532923185537
Afghanistan,AFG,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,0.793632803684602,0.818710390530765,0.859016751556685,0.921010226887482,0.968056185943023,0.930829537466697,0.921943519203199,0.920439653457933,1.02774669646039,1.0858019386959,0.964038556750135,0.980668612442124,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.3028864906373,8.85143009236444,6.19464026378841,4.05085192662084,3.15793383344012,2.92629527839025,3.07622789051786,..,1.81620389187557,1.67147204172895,1.11793377526649
Afghanistan,AFG,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,3595178603.90026,3546485505.11994,3397385139.22416,3385214269.83924,3280371610.79773,3474239609.30066,3537191386.68055,3841087892.91944,3614892525.93165,3907859302.82566,3858848703.10487,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,10.4901945914792,4.31363862893848,-0.221006685452235,0.274642647966695,3.88758243023237,1.76472064865408,4.01312468450278,2.27610578506511,4.97687240106527,9.16778879503815,12.4857998554167,6.83707245310776,7.66753342748908,13.6750341350698,16.0462388509011,14.1252146255691,13.4612186361763,8.67330285161073,3.74037704148182,19.9064558568693,12.0292623857369,22.2711083945931,20.6393565647998,28.4660179098297,43.8367383405801,51.8198670705792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,3.18947426974427,3.00652305905286,2.96427016990579,3.27397366862978,3.07634275594993,4.25106858010078,3.92076331823463,3.99414552668062,4.29168705756613,3.71220802505472,3.87324041470782,4.11326997166337,3.87525515411495,3.74753795663607,3.99460384407783,3.53150341746171,3.53685198016708,3.35470946219529,3.55382067363077,3.52519090130135,4.05403192305158,3.79158111360769,3.95244976248094,4.57355598235887,4.36920790345573,3.34515523335635,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,97641125317.649,95781549919.6302,93906627968.8934,89941410948.5188,88586356124.6351,86433067920.842,83239584645.4892,76726097282.7297,64784515097.4526,66767101196.0758,62417140599.1039,50809678234.8349,44846814305.8503,37114070367.8186,35417535808.69,30708690904.28,26119158341.4208,23977523950.8208,18367536663.1851,12738487770.8052,12121542515.7183,13653686131.4907,9117342668.64262,11196248198.4081,13827799358.9384,14500387619.0487,12919179162.517,14390392547.2498,16977019585.3907,20622144050.0078,23050608473.1991,21423456957.4405,19839797045.9137,28708569128.3329,35082301893.284,32947075774.0055,32167534859.5885,30879937120.5567,31440767170.5106,28040503340.0914
Algeria,DZA,Broad money growth (annual %),FM.LBL.BMNY.ZG,7.09848825803153,-0.757531112520278,11.1022592012153,8.38085499749667,0.815774502444313,0.297131027590294,14.4236738703043,8.40999983699717,10.9369170859084,19.9070032552161,13.5484317301271,4.84083509704069,16.0370822898722,23.090739222132,19.6447766293454,11.6936035353135,10.4512234983418,16.3061556803216,18.0521153645852,54.0514086919074,14.131502836251,13.9471735991383,19.5726202628557,18.2594753905099,14.6446455240271,9.46358191996781,15.7048390658407,7.29664105088382,31.2748797453857,20.8027985226783,11.4156555150626,5.18218899868585,13.598117070447,13.6025654579413,1.40980970249263,14.9668493249177,17.3517110037004,20.3321488142722,26.326108067501,16.6935716652947,17.380065002698
