Date,MYR,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Deposit Interest Rate %,Lending Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),REED 12mth std dev,Trade Openness,Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,MYR_30_ave,MYR_60_ave,MYR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,MYR_classifier
1981-09-24,2.334,-0.9911140639934546,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3636833333333334,2.3619583333333334,2.355296666666667,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-25,2.325,-0.9932568492674144,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.3622500000000004,2.361741666666666,2.355174444444444,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-28,2.3275,-0.9979171608653922,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.360633333333333,2.361483333333333,2.3550244444444446,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-29,2.32,-0.9988797155850336,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.358966666666667,2.3609749999999994,2.3547022222222225,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-09-30,2.321,-0.9995462806873572,2.354299999,46.2129283003192,10.5,11.71,970989254.118417,989678461.109323,25004557093.8761,-34.5029283003192,13.617517747730563,2.78744004314244,0.0784124152996067,9009591597.58691,18.0948744207037,2.109290045882295,2.35715,2.3606083333333334,2.354352222222222,0,0,0,0,0,0,0,0,1,0,0,0,Small Appreciation
1981-12-01,2.2455,-0.5086709438521042,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.269433333333333,2.302483333333333,2.3254,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-02,2.246,-0.4937755501599773,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.268066666666667,2.3005,2.324088888888889,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-03,2.245,-0.4787338401157883,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2667333333333333,2.2985333333333333,2.322783333333333,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-04,2.242,-0.4635502709028512,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.265283333333333,2.296441666666667,2.3214277777777776,0,0,0,0,0,0,0,0,0,0,0,1,Low Crash Confidence
1981-12-07,2.243,-0.4171936026123169,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2634833333333337,2.2943083333333334,2.320061111111111,0,0,0,0,0,0,0,0,0,0,0,1,Low Crash Confidence
1981-12-08,2.244,-0.4014879892059737,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.261766666666667,2.292125,2.318738888888889,0,0,0,0,0,0,0,0,0,0,0,1,Low Crash Confidence
1981-12-09,2.241,-0.3856634062436074,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2600333333333333,2.2899416666666665,2.3173833333333334,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-10,2.243,-0.3697245428906732,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2582,2.287808333333333,2.316038888888889,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-11,2.241,-0.3536761221763721,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.256,2.2856916666666667,2.3147166666666665,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-14,2.262,-0.3049212246562894,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.254833333333333,2.283958333333333,2.31335,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-15,2.257,-0.2884824328806098,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.253466666666667,2.2822083333333336,2.311983333333333,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-16,2.252,-0.2719581575341052,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2524666666666664,2.2804583333333333,2.310605555555556,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-17,2.252,-0.2553532951161881,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2515,2.278825,2.309205555555556,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-18,2.253,-0.2386727660059499,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2506166666666667,2.277491666666667,2.307827777777778,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-21,2.259,-0.1882267098432439,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.249883333333333,2.276225,2.3063888888888893,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-22,2.25,-0.1712931441814778,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2491166666666667,2.274891666666667,2.304911111111111,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-23,2.255,-0.154308820664281,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.24865,2.273575,2.3036111111111115,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-24,2.248,-0.1372787721132651,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.247983333333333,2.272291666666667,2.302277777777778,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-28,2.242,-0.0688024268023206,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.2476166666666666,2.270866666666667,2.300788888888889,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-29,2.244,-0.0516196672232541,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.247516666666667,2.2696,2.2993888888888887,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-30,2.244,-0.0344216116227458,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.24725,2.2683166666666663,2.2979277777777773,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1981-12-31,2.242,-0.0172133561558352,2.247699999,46.5856132059669,10.0,12.07,1136717533.98439,1066868354.7924,25004557093.8761,-34.5156132059669,15.26121812785311,3.491980130448883,0.0881273713628974,9009591597.58691,18.0948744207037,2.109290045882295,2.246916666666667,2.2668916666666665,2.2964166666666666,0,0,0,0,0,0,0,0,0,0,0,1,Small deppreciation
1982-03-01,2.32,0.8498170915275278,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.2952166666666667,2.2711166666666665,2.270555555555556,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-02,2.317,0.8587639582758029,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.2973,2.2723000000000004,2.270888888888889,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-03,2.318,0.8674563547295969,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.299,2.273516666666666,2.271255555555556,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-04,2.317,0.8758917051442429,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3010333333333337,2.2747666666666664,2.2716055555555554,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-05,2.3055,0.8840675099433636,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3024,2.275808333333333,2.2717,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-08,2.304,0.907013812802636,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3036000000000003,2.2768083333333333,2.2717944444444447,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-09,2.322,0.9141279881853336,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3055000000000003,2.2781583333333333,2.272116666666667,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-10,2.3195,0.9209712877166346,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.30695,2.279433333333334,2.2723555555555555,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-11,2.329,0.9275416835791966,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3089166666666667,2.2809,2.2726,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-12,2.335,0.9338372288229252,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.31105,2.2821166666666666,2.273022222222222,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-15,2.324,0.9510565162951536,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3126166666666665,2.283233333333333,2.273311111111111,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-16,2.326,0.9562348265919056,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.314283333333333,2.284466666666667,2.2738,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-17,2.328,0.9611297838723007,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.315816666666667,2.2857333333333334,2.274322222222222,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-18,2.326,0.9657399376548548,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3168166666666665,2.28695,2.274838888888889,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-19,2.336,0.9700639218515072,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3180166666666664,2.2882333333333333,2.27545,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-22,2.334,0.9813064702716092,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3191166666666665,2.2896333333333336,2.276127777777777,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
