Date,KRW,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Lending Interest Rate %,Deposit Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,KRW_30_ave,KRW_60_ave,KRW_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,KRW_classifier
1996-07-16,813.5,-0.2380332770614851,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,803.8366666666666,792.2166666666666,788.6811111111111,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-17,813.5,-0.254671120241229,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,804.7333333333333,792.7933333333333,789.0444444444445,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-18,814.4,-0.2712339106729102,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,805.6466666666668,793.3799999999999,789.4200000000001,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-19,814.1,-0.287716767226167,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,806.55,793.9666666666666,789.7955555555554,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-22,814.0,-0.3366372842469099,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,807.4300000000001,794.5399999999998,790.1655555555554,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-23,813.3,-0.3527520865490947,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,808.18,795.11,790.5277777777778,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-24,814.3,-0.36876293119226,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,808.9066666666665,795.695,790.8888888888889,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-25,813.4,-0.3846650997070009,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,809.5233333333333,796.28,791.2399999999999,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-26,814.3,-0.4004539056512661,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,810.0733333333334,796.8799999999999,791.5955555555556,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-29,817.0,-0.447093792985114,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,810.76,797.52,791.9577777777778,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-30,813.5,-0.4623829729035149,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,811.2466666666666,798.1066666666667,792.2555555555556,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-07-31,813.0,-0.4775358864374881,812.76,63.4433903982647,11.17,9.87,9897000000.0,12729000000.0,610169556840.077,-52.273390398264695,5.611292732681147,0.0370814960306683,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,811.7333333333333,798.685,792.5988888888888,0,0,0,0,0,0,1,0,0,0,0,0,Small deppreciation
1996-08-01,813.2,-0.4925480679538642,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,812.2,799.2666666666667,792.9366666666667,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-02,813.8,-0.5074150932938452,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,812.4266666666666,799.8566666666667,793.2866666666667,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-05,814.5,-0.5511016400745998,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,812.6666666666666,800.4566666666667,793.6400000000001,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-06,814.3,-0.5653446739747425,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,812.7566666666665,801.0533333333334,793.9955555555556,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-07,814.3,-0.5794210982045637,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,812.8666666666666,801.6533333333333,794.3577777777779,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-08,814.3,-0.5933267643772321,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,813.05,802.255,794.7355555555555,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-09,814.5,-0.6070575744291004,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,813.2333333333333,802.8566666666667,795.1155555555555,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
