Date,THB,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Lending Interest Rate %,Deposit Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Trade Openness,Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,THB_30_ave,THB_60_ave,THB_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,THB_classifier
1991-05-08,25.65,0.8165380514459161,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.580333333333332,25.410999999999998,25.355888888888884,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-09,25.66,0.8064799463209448,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.584666666666667,25.419,25.361666666666668,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-10,25.67,0.7961828637826158,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.588666666666665,25.427500000000002,25.36711111111111,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-13,25.68,0.7638886127905428,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.594,25.436166666666665,25.372666666666667,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-14,25.67,0.7526668275320085,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.6,25.445333333333334,25.378333333333334,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-15,25.62,0.7412220108485958,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.603333333333335,25.454166666666666,25.383111111111113,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-16,25.6,0.7295575540864875,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.604,25.46333333333333,25.386777777777777,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-17,25.62,0.717676913675962,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.603666666666665,25.472666666666665,25.390555555555558,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-20,25.69,0.6807734094770161,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.605666666666668,25.4835,25.39511111111111,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-21,25.65,0.6680638642135335,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.608333333333334,25.493833333333335,25.39811111111111,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-22,25.63,0.6551563572090853,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.610666666666667,25.503166666666665,25.401666666666667,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-23,25.65,0.6420547132365637,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.613666666666667,25.511666666666667,25.40544444444444,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-24,25.64,0.6287628145958344,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.617666666666665,25.519333333333336,25.41,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-29,25.62,0.5595892624101765,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.619833333333336,25.5265,25.414555555555555,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-30,25.62,0.545240438540651,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.6245,25.534,25.419222222222224,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-05-31,25.64,0.5307300481619334,25.63112931626,52.6211354472381,15.0,13.5,2246252956.30169,3285848195.01387,98234695722.0341,-37.6211354472381,15.1932063211474,0.05631514518016373,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.62816666666667,25.541,25.42333333333334,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1991-06-03,25.69,0.48627270710868997,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.634500000000003,25.5485,25.427444444444443,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-04,25.71,0.4711595076738638,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.642833333333332,25.55616666666667,25.431777777777775,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-05,25.71,0.4559066935084588,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.6505,25.564166666666665,25.43622222222222,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-06,25.72,0.440518784350495,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.657333333333334,25.571666666666665,25.44066666666667,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-07,25.73,0.42500033996955416,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.6615,25.578333333333333,25.445333333333338,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-10,25.78,0.3777079652039649,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.6655,25.585666666666665,25.45033333333333,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-11,25.79,0.36171373072976765,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.669833333333333,25.592500000000005,25.455777777777776,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1991-06-12,25.79,0.3456123126707335,25.7521299267421,52.6211354472381,15.5,14.5,2177412127.05561,3123042646.52235,98234695722.0341,-37.1211354472381,15.709317249443663,0.0539570539168379,-2.86472588176084,0.42917315987316235,40896664158.5152,9.22060819677098,15.105658453115979,25.673999999999996,25.599833333333333,25.461555555555556,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
