Date,MXN,sin_DoY,Inflation (CPI) %,Deposit Interest Rate %,Lending Interest Rate %,Exports(USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),REED 12mth std dev,Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,MXN_30_ave,MXN_60_ave,MXN_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,MXN_classifier
1997-03-26,7.91,0.9922222094179323,41.3697804429358,18.29,24.99,8848300000.0,500413483109.175,-16.3797804429358,4.145172082718345,3.751808741542202,-0.04528455120593875,0.4215114242914624,99315317042.3691,8.26160243536039,21.762335481629226,7.895200000000001,7.861633333333333,7.869777777777777,0,0,1,0,0,0,0,0,0,0,0,0,Small Appreciation
1997-03-27,7.913,0.994217906893952,41.3697804429358,18.29,24.99,8848300000.0,500413483109.175,-16.3797804429358,4.145172082718345,3.751808741542202,-0.04528455120593875,0.4215114242914624,99315317042.3691,8.26160243536039,21.762335481629226,7.899299999999999,7.862533333333333,7.869755555555556,0,0,1,0,0,0,0,0,0,0,0,0,Small Appreciation
1997-03-28,7.93,0.995918996147179,41.3697804429358,18.29,24.99,8848300000.0,500413483109.175,-16.3797804429358,4.145172082718345,3.751808741542202,-0.04528455120593875,0.4215114242914624,99315317042.3691,8.26160243536039,21.762335481629226,7.903833333333334,7.8633500000000005,7.869533333333334,0,0,1,0,0,0,0,0,0,0,0,0,Small Appreciation
1997-03-31,7.93,0.9992500112396835,41.3697804429358,18.29,24.99,8848300000.0,500413483109.175,-16.3797804429358,4.145172082718345,3.751808741542202,-0.04528455120593875,0.4215114242914624,99315317042.3691,8.26160243536039,21.762335481629226,7.908833333333334,7.863766666666667,7.869800000000001,0,0,1,0,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-01,7.915,0.9997685019798909,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.912733333333334,7.864516666666666,7.869966666666666,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-02,7.93,0.9999907397361901,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.917433333333333,7.865766666666667,7.870411111111111,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-03,7.969,0.9999166586547379,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.9249833333333335,7.867916666666667,7.871322222222222,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-04,7.952,0.9995462806873573,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.931383333333333,7.870116666666666,7.872122222222222,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-07,7.902,0.9966589017541702,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.936449999999999,7.871483333333333,7.8719777777777775,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-08,7.887,0.9951053111006976,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.940849999999999,7.871933333333333,7.872055555555554,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
