Date,TRY,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,TRY_classifier
2006-01-18,1.3355,0.288482432880609,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3461166666666666,1.352105,1.3515244444444443,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-19,1.3355,0.304921224656289,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3454000000000002,1.3516966666666663,1.35153,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-20,1.3365,0.3212696616923644,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.344833333333333,1.35138,1.3514855555555556,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-23,1.3248,0.3697245428906731,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3437599999999998,1.3508766666666667,1.3513,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-24,1.3215,0.385663406243607,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3426433333333334,1.350385,1.3510777777777778,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-25,1.3235,0.401487989205973,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3415766666666669,1.349918333333333,1.3508566666666666,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-26,1.324,0.4171936026123168,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3406933333333333,1.3494683333333333,1.3506288888888889,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-27,1.325,0.4327755925504312,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3399500000000002,1.3490466666666665,1.350428888888889,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-30,1.3288,0.4787338401157884,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.33941,1.3487366666666667,1.3503433333333337,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-01-31,1.323,0.4937755501599771,1.33052,69.2656950672646,19.96,8181871027.8688,5150137578.54072,557057829051.453,9.51804233508092,0.0239328987245561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.33855,1.3483133333333337,1.3501266666666667,1,0,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
