Date,TRY,Yr,DoM,MoY,sin_DoY,cos_DoY,Ave Monthly USD FX Rate,@OBS_STATUS_x,Inflation (CPI) %,@OBS_STATUS_y,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),M2 Multiplier Growth (%),M2/Reserves,Domestic Credit to GDP,Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Total Debt(USD),Short Term Debt(USD),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,TRY_90d_change,TRY_classifier
2005-08-23,1.3645,2005,23,8,-0.7748840413670406,-0.6321034111873488,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3374033333333335,1.3461566666666664,1.3537833333333333,-0.009527299377061316,Small Appreciation
2005-08-24,1.3705,2005,24,8,-0.7856498550787144,-0.6186714032625032,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3386366666666667,1.34644,1.3537333333333332,-0.018533381977380636,Small Appreciation
2005-08-25,1.366,2005,25,8,-0.7961828637826154,-0.6050560696488494,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3398533333333336,1.3467650000000002,1.35373,-0.021376281112738038,Small Appreciation
2005-08-26,1.3578,2005,26,8,-0.8064799463209447,-0.5912614448635782,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3406966666666666,1.34669,1.3537166666666667,-0.016718220651053106,Small Appreciation
2005-08-30,1.3575,2005,30,8,-0.8452490573530634,-0.5343725582809785,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3415466666666667,1.3465733333333332,1.3537333333333332,-0.02025782688766109,Small Appreciation
2005-08-31,1.3425,2005,31,8,-0.8543221697498269,-0.5197438121555157,1.342379,,65.6558295964125,,20.47,10272159196.4713,5560239512.0901,506308311476.63,8.086772243692444,3.156271078961992,3.98057204685288,0.380819470177862,0.03127027218333979,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3418133333333335,1.3461316666666667,1.3535666666666666,-0.004469273743016755,Small Appreciation
2005-09-01,1.3425,2005,1,9,-0.8631421280499115,-0.5049610547215202,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3420466666666664,1.34584,1.35333,0.0011173184357542443,Small deppreciation
2005-09-02,1.336,2005,2,9,-0.8717063187093217,-0.4900286664290594,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.34238,1.3453483333333334,1.3530355555555555,0.0015718562874251774,Small deppreciation
2005-09-05,1.3335,2005,5,9,-0.8958392907349089,-0.4443781781046134,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3421966666666667,1.344815,1.352591111111111,0.004199475065616909,Small deppreciation
2005-09-06,1.332,2005,6,9,-0.9033558023246842,-0.4288919379124841,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.34198,1.344065,1.3519133333333333,0.007207207207207134,Small deppreciation
