Date,INR,sin_DoY,Inflation (CPI) %,Ave Monthly USD FX Rate,Lending Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Domestic Credit to GDP,Trade Openness,FDI(%GDP),Current Account(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,INR_30_ave,INR_60_ave,INR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,INR_classifier
1981-01-30,8.1,0.4787338401157884,10.2723126480341,7.94218098595966,16.5,717938814.298,1375692649.074,193490610032.1,6.2276873519659,3.085937864896603,0.3681081640084929,0.0108203259218866,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.952,7.895166666666666,7.842444444444445,1,0,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-02-02,8.2,0.5234156073655503,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.959333333333333,7.903166666666666,7.847444444444444,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-03,8.15,0.5380051715382996,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.965333333333333,7.910666666666668,7.851888888888888,0,1,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-02-04,8.12,0.5524353131676196,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.971,7.917666666666666,7.856,0,1,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-02-05,8.15,0.5667017562911176,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.979,7.924833333333334,7.860444444444445,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-06,8.16,0.5808002734538009,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.987333333333334,7.932,7.865,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-09,8.16,0.6220467484408675,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,7.995666666666667,7.938833333333333,7.869555555555555,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-10,8.16,0.6354323008901774,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.002999999999998,7.945833333333334,7.874111111111111,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-11,8.18,0.6486295610349814,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.011,7.953666666666667,7.8788888888888895,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-13,8.21,0.6744436188329455,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.02,7.9605,7.883999999999999,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-17,8.24,0.7236440382959124,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.031666666666668,7.967833333333333,7.889222222222222,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-18,8.22,0.7354170229639855,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.045333333333334,7.974833333333334,7.894222222222222,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-19,8.22,0.7469720876965552,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.056333333333333,7.981833333333333,7.899444444444445,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-20,8.23,0.7583058084785624,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.068666666666667,7.989000000000001,7.904666666666667,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-23,8.29,0.7909456567567772,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.08,7.996333333333333,7.910555555555556,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
